Time, NodeID, Gender, AgeYears, IndividualProp=Risk, NumIndividuals, NumInfected
29,2,F,80, High,247,0
29,2,F,80, Low,96,0
29,2,F,125, High,52,0
29,2,F,125, Low,35,0
29,1,M,40, High,408,18
29,1,M,40, Low,1617,99
29,1,M,80, High,80,7
29,1,M,80, Low,303,19
29,1,M,125, High,22,1
29,1,M,125, Low,52,4
29,1,F,40, High,408,11
29,1,F,40, Low,1651,109
29,1,F,80, High,82,3
29,1,F,80, Low,300,15
29,1,F,125, High,21,0
29,1,F,125, Low,56,2
30,2,M,40, High,1430,0
30,2,M,40, Low,635,0
30,2,M,80, High,260,0
30,2,M,80, Low,112,0
30,2,M,125, High,50,0
30,2,M,125, Low,21,0
30,2,F,40, High,1410,0
30,2,F,40, Low,652,0
30,2,F,80, High,247,0
30,2,F,80, Low,96,0
30,2,F,125, High,52,0
30,2,F,125, Low,35,0
30,1,M,40, High,408,14
30,1,M,40, Low,1617,92
30,1,M,80, High,80,5
30,1,M,80, Low,303,18
30,1,M,125, High,22,1
30,1,M,125, Low,52,3
30,1,F,40, High,408,6
30,1,F,40, Low,1651,105
30,1,F,80, High,82,2
30,1,F,80, Low,300,12
30,1,F,125, High,21,0
30,1,F,125, Low,56,1
31,2,M,40, High,1430,0
31,2,M,40, Low,635,0
31,2,M,80, High,260,0
31,2,M,80, Low,112,0
31,2,M,125, High,50,0
31,2,M,125, Low,21,0
31,2,F,40, High,1410,0
31,2,F,40, Low,652,0
31,2,F,80, High,247,0
31,2,F,80, Low,96,0
31,2,F,125, High,52,0
31,2,F,125, Low,35,0
31,1,M,40, High,408,13
31,1,M,40, Low,1617,75
31,1,M,80, High,80,4
31,1,M,80, Low,303,19
31,1,M,125, High,22,1
31,1,M,125, Low,52,3
31,1,F,40, High,407,4
31,1,F,40, Low,1651,96
31,1,F,80, High,83,1
31,1,F,80, Low,300,13
31,1,F,125, High,21,0
31,1,F,125, Low,56,1
32,2,M,40, High,1430,0
32,2,M,40, Low,635,0
32,2,M,80, High,260,0
32,2,M,80, Low,112,0
32,2,M,125, High,50,0
32,2,M,125, Low,21,0
32,2,F,40, High,1410,0
32,2,F,40, Low,652,0
32,2,F,80, High,247,0
32,2,F,80, Low,96,0
32,2,F,125, High,52,0
32,2,F,125, Low,35,0
32,1,M,40, High,408,6
32,1,M,40, Low,1617,73
32,1,M,80, High,80,2
32,1,M,80, Low,303,20
32,1,M,125, High,22,1
32,1,M,125, Low,52,2
32,1,F,40, High,407,3
32,1,F,40, Low,1651,86
32,1,F,80, High,83,1
32,1,F,80, Low,300,14
32,1,F,125, High,21,0
32,1,F,125, Low,56,1
33,2,M,40, High,1430,0
33,2,M,40, Low,635,0
33,2,M,80, High,260,0
33,2,M,80, Low,112,0
33,2,M,125, High,50,0
33,2,M,125, Low,21,0
33,2,F,40, High,1410,0
33,2,F,40, Low,652,0
33,2,F,80, High,247,0
33,2,F,80, Low,96,0
33,2,F,125, High,52,0
33,2,F,125, Low,35,0
33,1,M,40, High,408,6
33,1,M,40, Low,1617,73
33,1,M,80, High,80,2
33,1,M,80, Low,303,17
33,1,M,125, High,22,1
33,1,M,125, Low,52,2
33,1,F,40, High,407,1
33,1,F,40, Low,1650,76
33,1,F,80, High,83,1
33,1,F,80, Low,301,12
33,1,F,125, High,21,0
33,1,F,125, Low,56,1
34,2,M,40, High,1430,0
34,2,M,40, Low,635,0
34,2,M,80, High,260,0
34,2,M,80, Low,112,0
34,2,M,125, High,50,0
34,2,M,125, Low,21,0
34,2,F,40, High,1410,0
34,2,F,40, Low,652,0
34,2,F,80, High,247,0
34,2,F,80, Low,96,0
34,2,F,125, High,52,0
34,2,F,125, Low,35,0
34,1,M,40, High,408,3
34,1,M,40, Low,1617,85
34,1,M,80, High,80,2
34,1,M,80, Low,303,16
34,1,M,125, High,22,1
34,1,M,125, Low,52,2
34,1,F,40, High,407,0
34,1,F,40, Low,1650,73
34,1,F,80, High,83,1
34,1,F,80, Low,301,13
34,1,F,125, High,21,0
34,1,F,125, Low,56,1
35,2,M,40, High,1430,0
35,2,M,40, Low,635,0
35,2,M,80, High,260,0
35,2,M,80, Low,112,0
35,2,M,125, High,50,0
35,2,M,125, Low,21,0
35,2,F,40, High,1410,0
35,2,F,40, Low,652,0
35,2,F,80, High,247,0
35,2,F,80, Low,96,0
35,2,F,125, High,52,0
35,2,F,125, Low,35,0
35,1,M,40, High,408,1
35,1,M,40, Low,1617,86
35,1,M,80, High,80,1
35,1,M,80, Low,303,15
35,1,M,125, High,22,0
35,1,M,125, Low,52,3
35,1,F,40, High,407,0
35,1,F,40, Low,1650,73
35,1,F,80, High,83,1
35,1,F,80, Low,301,13
35,1,F,125, High,21,0
35,1,F,125, Low,56,3
36,2,M,40, High,1430,0
36,2,M,40, Low,635,0
36,2,M,80, High,260,0
36,2,M,80, Low,112,0
36,2,M,125, High,50,0
36,2,M,125, Low,21,0
36,2,F,40, High,1410,0
36,2,F,40, Low,652,0
36,2,F,80, High,247,0
36,2,F,80, Low,96,0
36,2,F,125, High,52,0
36,2,F,125, Low,35,0
36,1,M,40, High,408,1
36,1,M,40, Low,1617,76
36,1,M,80, High,80,0
36,1,M,80, Low,303,19
36,1,M,125, High,22,0
36,1,M,125, Low,52,2
36,1,F,40, High,407,0
36,1,F,40, Low,1649,66
36,1,F,80, High,83,1
36,1,F,80, Low,302,10
36,1,F,125, High,21,0
36,1,F,125, Low,56,4
37,2,M,40, High,1430,0
37,2,M,40, Low,635,0
37,2,M,80, High,260,0
37,2,M,80, Low,112,0
37,2,M,125, High,50,0
37,2,M,125, Low,21,0
37,2,F,40, High,1410,0
37,2,F,40, Low,652,0
37,2,F,80, High,247,0
37,2,F,80, Low,96,0
37,2,F,125, High,52,0
37,2,F,125, Low,35,0
37,1,M,40, High,408,1
37,1,M,40, Low,1617,73
37,1,M,80, High,80,0
37,1,M,80, Low,303,19
37,1,M,125, High,22,0
37,1,M,125, Low,52,1
37,1,F,40, High,407,0
37,1,F,40, Low,1649,72
37,1,F,80, High,83,0
37,1,F,80, Low,302,10
37,1,F,125, High,21,0
37,1,F,125, Low,56,4
38,2,M,40, High,1430,0
38,2,M,40, Low,635,0
38,2,M,80, High,260,0
38,2,M,80, Low,112,0
38,2,M,125, High,50,0
38,2,M,125, Low,21,0
38,2,F,40, High,1410,0
38,2,F,40, Low,652,0
38,2,F,80, High,247,0
38,2,F,80, Low,96,0
38,2,F,125, High,52,0
38,2,F,125, Low,35,0
38,1,M,40, High,408,0
38,1,M,40, Low,1617,62
38,1,M,80, High,80,0
38,1,M,80, Low,303,16
38,1,M,125, High,22,0
38,1,M,125, Low,52,1
38,1,F,40, High,407,0
38,1,F,40, Low,1649,73
38,1,F,80, High,83,0
