Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
92,1,M,125,73,1
92,1,F,40,72,1
92,1,F,80,76,3
92,1,F,125,98,5
93,2,M,40,87,1
93,2,M,80,78,2
93,2,M,125,96,3
93,2,F,40,89,0
93,2,F,80,80,2
93,2,F,125,83,2
93,1,M,40,87,1
93,1,M,80,92,2
93,1,M,125,70,0
93,1,F,40,66,1
93,1,F,80,77,3
93,1,F,125,95,6
94,2,M,40,81,1
94,2,M,80,81,1
94,2,M,125,100,3
94,2,F,40,89,0
94,2,F,80,78,3
94,2,F,125,83,2
94,1,M,40,93,1
94,1,M,80,89,2
94,1,M,125,66,0
94,1,F,40,66,0
94,1,F,80,79,2
94,1,F,125,95,6
95,2,M,40,75,1
95,2,M,80,79,1
95,2,M,125,95,3
95,2,F,40,94,0
95,2,F,80,79,3
95,2,F,125,86,3
95,1,M,40,99,1
